127.0.0.1 - - [01/Apr/2024:21:06:24 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/index.html HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:24 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:39 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:39 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:39 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:06:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:26:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:26:05 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:26:05 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:26:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:26:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1081
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:43:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:43:03 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:43:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:43:03 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:43:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2024:21:43:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 304 -
